url,lei,consolidation,country,module,refdate,submission_ts
https://errp.eba.europa.eu/public-documents/CODIS/input/0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip,0W2PZJM8XOY22M4GG883,CON,DE,020000,2025-06-30,20260211154609543
https://errp.eba.europa.eu/public-documents/CODIS/input/0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-09-30_20260211161133472.zip,0W2PZJM8XOY22M4GG883,CON,DE,020000,2025-09-30,20260211161133472
https://errp.eba.europa.eu/public-documents/CODIS/input/0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-12-31_20260428174043285.zip,0W2PZJM8XOY22M4GG883,CON,DE,020000,2025-12-31,20260428174043285
https://errp.eba.europa.eu/public-documents/CODIS/input/0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020100_CODIS_2026-03-31_20260511165608771.zip,0W2PZJM8XOY22M4GG883,CON,DE,020100,2026-03-31,20260511165608771
https://errp.eba.europa.eu/public-documents/CODIS/input/0W5QHUNYV4W7GJO62R27.CON_AT_PILLAR3020000_CODIS_2025-12-31_20260521122845618.zip,0W5QHUNYV4W7GJO62R27,CON,AT,020000,2025-12-31,20260521122845618
https://errp.eba.europa.eu/public-documents/CODIS/input/1FOLRR5RWTWWI397R131.IND_SE_PILLAR3020000_CODIS_2025-06-30_20260529011232000.zip,1FOLRR5RWTWWI397R131,IND,SE,020000,2025-06-30,20260529011232000
https://errp.eba.europa.eu/public-documents/CODIS/input/1FOLRR5RWTWWI397R131.IND_SE_PILLAR3020000_CODIS_2025-09-30_20260422073936000.zip,1FOLRR5RWTWWI397R131,IND,SE,020000,2025-09-30,20260422073936000
https://errp.eba.europa.eu/public-documents/CODIS/input/1FOLRR5RWTWWI397R131.IND_SE_PILLAR3020000_CODIS_2025-12-31_20260521070928002.zip,1FOLRR5RWTWWI397R131,IND,SE,020000,2025-12-31,20260521070928002
https://errp.eba.europa.eu/public-documents/CODIS/input/1FOLRR5RWTWWI397R131.IND_SE_PILLAR3020100_CODIS_2026-03-31_20260618013541000.zip,1FOLRR5RWTWWI397R131,IND,SE,020100,2026-03-31,20260618013541000
https://errp.eba.europa.eu/public-documents/CODIS/input/21380033CFFM2V1ZCK65.CON_MT_PILLAR3020000_CODIS_2025-12-31_20260424141111218.zip,21380033CFFM2V1ZCK65,CON,MT,020000,2025-12-31,20260424141111218
https://errp.eba.europa.eu/public-documents/CODIS/input/21380057HUGFEAF25W84.CON_SE_PILLAR3020000_CODIS_2025-06-30_20260205164528910.zip,21380057HUGFEAF25W84,CON,SE,020000,2025-06-30,20260205164528910
https://errp.eba.europa.eu/public-documents/CODIS/input/21380057HUGFEAF25W84.CON_SE_PILLAR3020000_CODIS_2025-12-31_20260402095742234.zip,21380057HUGFEAF25W84,CON,SE,020000,2025-12-31,20260402095742234
https://errp.eba.europa.eu/public-documents/CODIS/input/2138005M92IEIQVEL297.CON_EE_PILLAR3020000_CODIS_2025-06-30_20260222173827032.zip,2138005M92IEIQVEL297,CON,EE,020000,2025-06-30,20260222173827032
https://errp.eba.europa.eu/public-documents/CODIS/input/2138005M92IEIQVEL297.CON_EE_PILLAR3020000_CODIS_2025-12-31_20260302165627032.zip,2138005M92IEIQVEL297,CON,EE,020000,2025-12-31,20260302165627032
https://errp.eba.europa.eu/public-documents/CODIS/input/2138005MGIT3X9ZTMP37.IND_DK_PILLAR3020000_CODIS_2025-12-31_20260225114311736.zip,2138005MGIT3X9ZTMP37,IND,DK,020000,2025-12-31,20260225114311736
https://errp.eba.europa.eu/public-documents/CODIS/input/2138007F5HA5FFJROB80.CON_LV_PILLAR3020000_CODIS_2025-12-31_20260527125254835.zip,2138007F5HA5FFJROB80,CON,LV,020000,2025-12-31,20260527125254835
